instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,day,month_name,day_name,is_weekend,is_peak_hour,season_label,weather_label,demand_category
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,3,January,Monday,0,0,Spring,Clear,Low
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,3,January,Monday,0,0,Spring,Clear,Low
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,3,January,Monday,0,1,Spring,Clear,Medium
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,3,January,Monday,0,1,Spring,Clear,High
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,3,January,Monday,0,1,Spring,Clear,Medium
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,3,January,Monday,0,0,Spring,Clear,Medium
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,3,January,Monday,0,0,Spring,Clear,Medium
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,3,January,Monday,0,0,Spring,Clear,Medium
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,3,January,Monday,0,0,Spring,Clear,Medium
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,3,January,Monday,0,0,Spring,Clear,Medium
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,3,January,Monday,0,0,Spring,Clear,Medium
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,3,January,Monday,0,0,Spring,Clear,Medium
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,3,January,Monday,0,1,Spring,Clear,High
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,3,January,Monday,0,1,Spring,Clear,High
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,3,January,Monday,0,1,Spring,Clear,Medium
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,3,January,Monday,0,0,Spring,Clear,Medium
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,3,January,Monday,0,0,Spring,Clear,Medium
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,3,January,Monday,0,0,Spring,Clear,Low
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,3,January,Monday,0,0,Spring,Clear,Low
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,4,January,Tuesday,0,0,Spring,Clear,Low
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,4,January,Tuesday,0,0,Spring,Clear,Low
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,4,January,Tuesday,0,0,Spring,Clear,Low
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,4,January,Tuesday,0,0,Spring,Clear,Low
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,4,January,Tuesday,0,0,Spring,Clear,Low
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,4,January,Tuesday,0,0,Spring,Clear,Low
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,4,January,Tuesday,0,1,Spring,Clear,Medium
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,4,January,Tuesday,0,1,Spring,Clear,High
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,4,January,Tuesday,0,1,Spring,Clear,Medium
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,4,January,Tuesday,0,0,Spring,Mist,Medium
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,4,January,Tuesday,0,0,Spring,Clear,Medium
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,4,January,Tuesday,0,0,Spring,Clear,Medium
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,4,January,Tuesday,0,0,Spring,Clear,Medium
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,4,January,Tuesday,0,0,Spring,Clear,Medium
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,4,January,Tuesday,0,0,Spring,Clear,Medium
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,4,January,Tuesday,0,0,Spring,Clear,Medium
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,4,January,Tuesday,0,1,Spring,Clear,High
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,4,January,Tuesday,0,1,Spring,Clear,High
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,4,January,Tuesday,0,1,Spring,Clear,Medium
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,4,January,Tuesday,0,0,Spring,Clear,Medium
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,4,January,Tuesday,0,0,Spring,Clear,Medium
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,4,January,Tuesday,0,0,Spring,Clear,Low
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,4,January,Tuesday,0,0,Spring,Clear,Low
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,5,January,Wednesday,0,0,Spring,Clear,Low
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,5,January,Wednesday,0,0,Spring,Clear,Low
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,5,January,Wednesday,0,0,Spring,Clear,Low
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,5,January,Wednesday,0,0,Spring,Clear,Low
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,5,January,Wednesday,0,0,Spring,Clear,Low
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,5,January,Wednesday,0,0,Spring,Clear,Low
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,5,January,Wednesday,0,1,Spring,Clear,Medium
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,5,January,Wednesday,0,1,Spring,Clear,High
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,5,January,Wednesday,0,1,Spring,Clear,Medium
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,5,January,Wednesday,0,0,Spring,Clear,Medium
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,5,January,Wednesday,0,0,Spring,Clear,Medium
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,5,January,Wednesday,0,0,Spring,Clear,Medium
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,5,January,Wednesday,0,0,Spring,Clear,Medium
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,5,January,Wednesday,0,0,Spring,Clear,Medium
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,5,January,Wednesday,0,0,Spring,Clear,Medium
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,5,January,Wednesday,0,0,Spring,Clear,Medium
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,5,January,Wednesday,0,1,Spring,Clear,High
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,5,January,Wednesday,0,1,Spring,Clear,High
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,5,January,Wednesday,0,1,Spring,Clear,Medium
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,5,January,Wednesday,0,0,Spring,Clear,Medium
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,5,January,Wednesday,0,0,Spring,Clear,Medium
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,5,January,Wednesday,0,0,Spring,Clear,Medium
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,5,January,Wednesday,0,0,Spring,Clear,Low
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,6,January,Thursday,0,0,Spring,Clear,Low
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,6,January,Thursday,0,0,Spring,Clear,Low
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,6,January,Thursday,0,0,Spring,Clear,Low
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,6,January,Thursday,0,0,Spring,Mist,Low
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,6,January,Thursday,0,0,Spring,Mist,Low
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,6,January,Thursday,0,0,Spring,Mist,Low
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,6,January,Thursday,0,1,Spring,Mist,Medium
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,6,January,Thursday,0,1,Spring,Clear,High
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,6,January,Thursday,0,1,Spring,Mist,Medium
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,6,January,Thursday,0,0,Spring,Clear,Medium
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,6,January,Thursday,0,0,Spring,Clear,Medium
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,6,January,Thursday,0,0,Spring,Clear,Medium
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,6,January,Thursday,0,0,Spring,Clear,Medium
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,6,January,Thursday,0,0,Spring,Clear,Medium
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,6,January,Thursday,0,0,Spring,Clear,Medium
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,6,January,Thursday,0,0,Spring,Clear,Medium
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,6,January,Thursday,0,1,Spring,Clear,High
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,6,January,Thursday,0,1,Spring,Clear,High
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,6,January,Thursday,0,1,Spring,Clear,Medium
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,6,January,Thursday,0,0,Spring,Clear,Medium
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,6,January,Thursday,0,0,Spring,Mist,Medium
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,6,January,Thursday,0,0,Spring,Mist,Medium
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,6,January,Thursday,0,0,Spring,Mist,Low
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,7,January,Friday,0,0,Spring,Mist,Low
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,7,January,Friday,0,0,Spring,Mist,Low
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,7,January,Friday,0,0,Spring,Mist,Low
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,7,January,Friday,0,0,Spring,Mist,Low
143,2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,7,January,Friday,0,0,Spring,Light_Rain,Low
144,2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,7,January,Friday,0,0,Spring,Mist,Low
145,2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,7,January,Friday,0,1,Spring,Clear,Medium
146,2011-01-07,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,7,January,Friday,0,1,Spring,Clear,High
147,2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,7,January,Friday,0,1,Spring,Clear,Medium
148,2011-01-07,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,7,January,Friday,0,0,Spring,Clear,Medium
149,2011-01-07,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,7,January,Friday,0,0,Spring,Mist,Medium
150,2011-01-07,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,7,January,Friday,0,0,Spring,Mist,Medium
151,2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,7,January,Friday,0,0,Spring,Mist,Medium
152,2011-01-07,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,7,January,Friday,0,0,Spring,Mist,Medium
153,2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,7,January,Friday,0,0,Spring,Mist,Medium
154,2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,7,January,Friday,0,0,Spring,Mist,Medium
155,2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,7,January,Friday,0,1,Spring,Mist,High
156,2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,7,January,Friday,0,1,Spring,Clear,Medium
157,2011-01-07,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,7,January,Friday,0,1,Spring,Clear,Medium
158,2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,7,January,Friday,0,0,Spring,Clear,Medium
159,2011-01-07,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,7,January,Friday,0,0,Spring,Clear,Low
160,2011-01-07,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,7,January,Friday,0,0,Spring,Mist,Low
161,2011-01-07,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,7,January,Friday,0,0,Spring,Mist,Low
162,2011-01-08,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,8,January,Saturday,1,0,Spring,Mist,Low
163,2011-01-08,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,8,January,Saturday,1,0,Spring,Mist,Low
164,2011-01-08,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,8,January,Saturday,1,0,Spring,Mist,Low
165,2011-01-08,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,8,January,Saturday,1,0,Spring,Light_Rain,Low
166,2011-01-08,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,8,January,Saturday,1,0,Spring,Light_Rain,Low
167,2011-01-08,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,8,January,Saturday,1,0,Spring,Mist,Low
168,2011-01-08,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,8,January,Saturday,1,0,Spring,Mist,Low
169,2011-01-08,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,8,January,Saturday,1,1,Spring,Mist,Low
170,2011-01-08,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,8,January,Saturday,1,1,Spring,Light_Rain,Low
171,2011-01-08,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,8,January,Saturday,1,1,Spring,Light_Rain,Low
172,2011-01-08,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,8,January,Saturday,1,0,Spring,Mist,Medium
173,2011-01-08,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,8,January,Saturday,1,0,Spring,Mist,Medium
174,2011-01-08,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,8,January,Saturday,1,0,Spring,Mist,Medium
175,2011-01-08,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,8,January,Saturday,1,0,Spring,Clear,Medium
176,2011-01-08,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,8,January,Saturday,1,0,Spring,Clear,Medium
177,2011-01-08,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,8,January,Saturday,1,0,Spring,Clear,Medium
178,2011-01-08,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,8,January,Saturday,1,0,Spring,Clear,Medium
179,2011-01-08,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,8,January,Saturday,1,1,Spring,Clear,Medium
180,2011-01-08,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,8,January,Saturday,1,1,Spring,Clear,Medium
181,2011-01-08,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,8,January,Saturday,1,1,Spring,Clear,Low
182,2011-01-08,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,8,January,Saturday,1,0,Spring,Clear,Low
183,2011-01-08,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,8,January,Saturday,1,0,Spring,Clear,Low
184,2011-01-08,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,8,January,Saturday,1,0,Spring,Clear,Low
185,2011-01-08,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,8,January,Saturday,1,0,Spring,Clear,Low
186,2011-01-09,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,9,January,Sunday,1,0,Spring,Clear,Low
187,2011-01-09,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,9,January,Sunday,1,0,Spring,Clear,Low
188,2011-01-09,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,9,January,Sunday,1,0,Spring,Clear,Low
