instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,timestamp,hour_sin,hour_cos,month_sin,month_cos
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,2011-01-02 22:00:00,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,2011-01-02 23:00:00,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,2011-01-03 00:00:00,0.0,1.0,0.49999999999999994,0.8660254037844387
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,2011-01-03 01:00:00,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,2011-01-03 04:00:00,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,2011-01-03 05:00:00,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,2011-01-03 06:00:00,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,2011-01-03 07:00:00,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,2011-01-03 08:00:00,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,2011-01-03 09:00:00,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,2011-01-03 10:00:00,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,2011-01-03 11:00:00,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,2011-01-03 12:00:00,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,2011-01-03 13:00:00,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,2011-01-03 14:00:00,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,2011-01-03 15:00:00,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,2011-01-03 16:00:00,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,2011-01-03 17:00:00,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,2011-01-03 18:00:00,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,2011-01-03 19:00:00,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,2011-01-03 20:00:00,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,2011-01-03 21:00:00,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,2011-01-03 22:00:00,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,2011-01-03 23:00:00,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,2011-01-04 00:00:00,0.0,1.0,0.49999999999999994,0.8660254037844387
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,2011-01-04 01:00:00,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,2011-01-04 02:00:00,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,2011-01-04 04:00:00,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,2011-01-04 05:00:00,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,2011-01-04 06:00:00,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,2011-01-04 07:00:00,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,2011-01-04 08:00:00,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,2011-01-04 09:00:00,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,2011-01-04 10:00:00,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,2011-01-04 11:00:00,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,2011-01-04 12:00:00,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,2011-01-04 13:00:00,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,2011-01-04 14:00:00,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,2011-01-04 15:00:00,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,2011-01-04 16:00:00,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,2011-01-04 17:00:00,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,2011-01-04 18:00:00,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,2011-01-04 19:00:00,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,2011-01-04 20:00:00,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,2011-01-04 21:00:00,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,2011-01-04 22:00:00,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,2011-01-04 23:00:00,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,2011-01-05 00:00:00,0.0,1.0,0.49999999999999994,0.8660254037844387
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,2011-01-05 01:00:00,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,2011-01-05 02:00:00,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,2011-01-05 04:00:00,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,2011-01-05 05:00:00,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,2011-01-05 06:00:00,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,2011-01-05 07:00:00,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,2011-01-05 08:00:00,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,2011-01-05 09:00:00,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,2011-01-05 10:00:00,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,2011-01-05 11:00:00,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,2011-01-05 12:00:00,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,2011-01-05 13:00:00,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,2011-01-05 14:00:00,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,2011-01-05 15:00:00,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,2011-01-05 16:00:00,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,2011-01-05 17:00:00,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,2011-01-05 18:00:00,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,2011-01-05 19:00:00,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,2011-01-05 20:00:00,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,2011-01-05 21:00:00,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,2011-01-05 22:00:00,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,2011-01-05 23:00:00,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,2011-01-06 00:00:00,0.0,1.0,0.49999999999999994,0.8660254037844387
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,2011-01-06 01:00:00,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,2011-01-06 02:00:00,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,2011-01-06 04:00:00,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,2011-01-06 05:00:00,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,2011-01-06 06:00:00,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,2011-01-06 07:00:00,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,2011-01-06 08:00:00,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,2011-01-06 09:00:00,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,2011-01-06 10:00:00,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,2011-01-06 11:00:00,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,2011-01-06 12:00:00,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,2011-01-06 13:00:00,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,2011-01-06 14:00:00,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,2011-01-06 15:00:00,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,2011-01-06 16:00:00,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,2011-01-06 17:00:00,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,2011-01-06 18:00:00,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,2011-01-06 19:00:00,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,2011-01-06 20:00:00,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,2011-01-06 21:00:00,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,2011-01-06 22:00:00,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,2011-01-06 23:00:00,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,2011-01-07 00:00:00,0.0,1.0,0.49999999999999994,0.8660254037844387
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,2011-01-07 01:00:00,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,2011-01-07 02:00:00,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387
