date,actual_total,predicted_total,mad
2012-11-29,5323,4498.11,39.53
2012-11-30,5668,4513.99,49.57
2012-12-01,5191,3459.41,73.72
2012-12-02,4649,3496.13,59.65
2012-12-03,6234,5363.24,42.43
2012-12-04,6606,5458.53,51.69
2012-12-05,5729,4890.13,43.69
2012-12-06,5375,4226.5,50.43
2012-12-07,5008,4133.5,44.4
2012-12-08,5582,3595.34,86.48
2012-12-09,3228,2371.43,43.2
2012-12-10,5170,3978.94,52.89
2012-12-11,5501,4283.18,55.12
2012-12-12,5319,4120.8,54.03
2012-12-13,5532,4430.7,48.16
2012-12-14,5611,4493.98,48.33
2012-12-15,5047,4148.67,40.61
2012-12-16,3786,3162.93,39.6
2012-12-17,4585,3639.66,48.58
2012-12-18,5557,4873.59,34.83
2012-12-19,5267,4715.95,29.76
2012-12-20,4128,4053.88,43.63
2012-12-21,3623,3464.4,34.93
2012-12-22,1749,2875.02,47.79
2012-12-23,1787,2802.73,45.69
2012-12-24,920,2463.93,72.09
2012-12-25,1013,2804.81,77.9
2012-12-26,441,1676.87,51.49
2012-12-27,2114,3352.62,53.2
2012-12-28,3095,3494.8,47.76
2012-12-29,1341,2251.47,37.94
2012-12-30,1796,2521.83,32.2
2012-12-31,2729,3232.31,76.37
